"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"	"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"
"ABCA8"	0	0	0	0.0235514	0.0760109	0.030178	0.00437921	0	0	0
"ABCA9"	0.0287993	0.0215095	0.0124421	0.101986	0.326736	0.207538	0.0019804	0.00384213	0.00794627	0.00308304
"ABCB1"	0.0318154	0.00725758	0.0268564	0.129515	0.274726	0.125379	0.274998	0.103674	0.214182	0.315715
"ABCB10"	4.07523	7.66946	2.9769	7.47688	8.68149	9.11319	2.14564	2.09708	2.0717	2.55887
"ABCB11"	0	0	0	0	0	0.00728027	0.0105754	0.00511717	0	0.0246066
"ABCB4"	0.0792072	0.0176434	0.0250528	0.917472	1.35129	0.826248	0.268147	0.241861	0.192992	0.21676
"ABCB5"	0.00382309	0.0107762	0.00362963	0.0201752	0.0188303	0.0242151	0.0176789	0.0113654	0.0232558	0.00897942
"ABCB6"	6.67054	3.7366	15.1147	7.06498	6.17864	5.00637	21.1586	22.2688	21.1101	15.1394
"ABCB7"	6.48914	7.35507	4.23876	16.149	18.3493	15.2482	16.505	14.7015	14.9379	17.55
"ABCB8"	5.95045	7.24866	11.2732	3.68208	2.47899	1.5899	4.86244	5.5245	5.19941	3.21363
"ABCB9"	2.97464	4.00424	7.07677	0.172782	0.472037	0.133479	1.2829	1.36358	1.36308	0.709447
"ABCC1"	14.7965	17.742	16.2125	13.8115	12.6841	10.1815	24.4985	25.128	25.6266	19.8803
"ABCC10"	4.71528	6.81189	8.15321	3.613	4.15391	2.77154	4.32631	4.68894	4.82161	2.71856
"ABCC11"	0.0374523	0.112333	0.0106678	0.0339437	0.00819835	0.00781371	0.0387049	0.0109816	0.0113408	0.026394
"ABCC12"	0	0	0	0.00373791	0	0	0	0.00942853	0	0
"ABCC13"	0.310296	0	0.0978435	0	0	0	0.00924933	0.0370342	0.037248	0
"ABCC2"	0.161279	0.158816	0.159446	0.160775	0.0576451	0.1236	0.174497	0.13034	0.119712	0.286378
"ABCC3"	11.1562	21.6849	16.067	0.0660561	0.00703918	0.0785811	0.0680322	0.0660262	0.0877224	0.0657976
"ABCC4"	3.76287	2.48466	1.77422	9.88979	7.55783	9.526	2.5141	2.08894	2.18863	2.26889
"ABCC5"	18.7648	5.35644	17.3237	3.16165	2.52639	2.32732	13.4303	11.4118	11.7665	12.7963
"ABCC6"	0.159159	0.182482	0.0979914	0.00755329	0.0284366	0.0745212	0.465607	0.838419	0.711464	0.577963
"ABCC6P1"	0	0.00863132	0	0	0	0	0.115424	0.118544	0.180693	0.0221213
"ABCC6P2"	0.23267	0.152003	0.244181	0	0	0	0.322088	0.726013	0.645044	0.446168
"ABCC8"	0.387625	0	0.917262	0	0	0	0.485964	0.563594	0.668385	0.329997
"ABCC9"	8.00425	1.01615	2.75508	1.72447	2.6084	3.20729	3.19749	2.90742	2.44045	2.48444
"ABCD1"	2.50085	1.12938	4.98984	0.648357	0.715742	0.172984	1.50359	1.56539	1.66365	0.853063
"ABCD2"	0.0186366	0.0605927	0.00590175	2.38771	2.99885	2.48828	0.0094066	0	0.00470894	0
"ABCD3"	7.3395	26.6143	4.62403	9.04985	8.61423	9.58806	7.67696	5.34945	5.34816	8.82909
"ABCD4"	5.8842	3.34847	7.29826	4.70793	4.71567	4.15563	17.1038	16.875	17.2698	12.4656
"ABCE1"	22.6366	36.82	8.72103	31.4986	29.7769	32.913	23.9963	15.7224	16.4914	31.8436
"ABCF1"	37.4973	32.3839	46.2782	30.6206	18.4512	16.7315	66.5872	65.8444	65.0676	60.9234
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF2"	30.1043	34.7626	40.4365	27.609	16.043	15.6924	25.0576	22.3874	22.2869	21.6759
"ABCF3"	30.9801	17.1927	45.1112	14.0596	7.83431	8.35631	19.3747	19.0868	18.5597	13.8092
"ABCG1"	6.75259	1.52828	10.1005	0.821411	1.05799	0.544225	1.20551	1.14045	1.24547	1.02295
"ABCG2"	0.305582	1.16942	0.5337	0	0.00825856	0	0.800754	0.94579	0.736798	0.930498
"ABCG4"	0.0514467	0.143955	0.062115	0.0163243	0.0204738	0.00975909	0.873573	0.911224	0.939962	0.537178
"ABCG5"	0	0	0	0	0	0.026192	0.00955764	0	0	0
"ABCG8"	0.116367	0	0.214293	0	0.0141467	0.0404798	0	0.0189125	0	0.015094
"ABHD1"	0.203851	0.0195354	0.131963	0.0148556	0	0.0266157	0.0589343	0.148298	0.132589	0.0586657
"ABHD10"	7.60903	8.28807	5.04477	9.70722	14.4531	11.9078	4.68986	4.84465	4.94731	5.64709
"ABHD11"	27.09	13.5811	42.3551	5.93933	3.1879	3.88016	10.5175	11.4577	11.5836	6.13472
"ABHD11-AS1"	0.339518	0	0.460842	0	0.61474	0.356804	0	0.0793945	0.0773172	0
"ABHD12"	43.1689	12.0895	43.5268	18.9189	14.5166	12.5581	33.6616	34.8857	33.4093	25.3089
"ABHD12B"	0.0248674	0.114404	0	0.159839	0	0.207786	1.34442	1.32637	1.72314	1.57541
"ABHD13"	2.80116	2.86313	0.811718	2.68257	3.07654	2.99698	1.22276	1.07889	0.915715	1.67867
"ABHD14A"	4.23241	7.6653	7.85881	5.29779	4.95159	3.19446	2.3361	2.85672	2.00268	1.0499
"ABHD14A-ACY1"	0.101655	0.461987	0.157264	0.0358429	7.51702e-15	0.417594	0.676225	0.365826	1.8931e-06	0.256139
"ABHD14B"	11.1239	10.6615	14.4797	35.9935	26.5994	19.3398	2.7366	3.14831	3.27621	2.04882
"ABHD15"	4.95597	3.6404	6.52944	2.19525	2.16034	1.38195	0.879673	0.904691	0.893122	0.674913
"ABHD16A"	14.9839	8.74321	23.2101	8.49153	7.34017	5.65189	14.8324	15.2489	14.5077	10.2974
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16B"	5.1556	1.99287	10.7327	1.31662	0.948857	0.231757	2.08962	2.10387	2.29213	0.841168
"ABHD2"	31.4694	7.64159	18.5553	6.00096	3.54154	4.59467	5.50168	4.5318	5.29661	5.76212
"ABHD3"	5.27677	7.48557	3.18806	4.93247	6.48154	7.45148	3.05634	2.76776	2.56041	2.55974
"ABHD4"	8.75583	4.49769	14.6577	5.31746	5.73705	2.85159	14.7626	16.031	15.175	13.4544
"ABHD5"	5.60586	7.43242	3.66533	1.20549	1.03122	1.10549	2.745	2.08197	2.20809	3.09841
"ABHD6"	1.19842	2.69438	1.06541	3.17955	5.64157	2.62289	2.36085	2.61172	2.21638	1.92973
"ABHD8"	2.07171	2.62218	3.57469	5.68869	3.72154	0.738454	9.64688	9.24808	8.77773	5.28565
"ABI1"	17.7032	17.7823	9.55978	19.1267	25.2639	23.1868	7.32335	6.49977	7.25378	9.63252
"ABI2"	8.49948	5.64769	5.88142	4.84762	7.20108	6.34072	17.5602	15.8467	17.4193	19.7603
"ABI3"	0.0084163	0	0.0867153	23.9051	18.5373	9.12176	0.701257	0.961988	0.875481	0.46527
"ABI3BP"	0.00747124	0.0613494	0	0.0260707	0.0654209	0.0779391	0	0.00547687	0.0339362	0.0438786
"ABL1"	22.498	13.9158	24.0464	8.74449	5.85504	4.91355	34.6234	31.0011	32.46	26.6061
"ABL2"	2.63462	7.4154	2.13932	0.905588	1.29982	1.27191	2.71902	2.55124	2.63198	2.92104
"ABLIM1"	27.0651	16.7102	5.95413	14.3055	8.52529	11.3419	12.3707	10.2519	11.6697	13.007
"ABLIM2"	1.97829	0.192412	3.71912	0.187906	0.0218927	0.065731	1.29491	1.36795	1.16974	0.917702
"ABLIM3"	3.43926	9.2032	3.92106	0.00448994	0	0	0.111209	0.135807	0.2045	0.0634575
"ABO"	0	0.0117828	0	0.120856	0	0.0481249	0.0886116	0.0503374	0.0686773	0.132978
"ABP1"	0.0357477	0	0.00676684	0	0	0	0.087265	0.114969	0.118248	0.0500009
"ABR"	22.8683	21.2435	31.6405	16.9678	12.0806	10.1309	11.0882	13.7103	14.5024	8.91539
"ABRA"	0	0	0	0.0072635	0.027312	0.0130244	0	0	0	0
"ABT1"	9.90308	11.111	13.9097	14.7039	13.4086	12.0365	14.0644	13.8046	12.6819	9.54249
"ABTB1"	5.7992	6.07897	7.14043	6.79832	5.39866	3.66877	2.67001	2.72759	2.64476	1.69589
"ABTB2"	6.29052	1.10127	8.57978	2.31765	0.579682	0.878222	5.79124	5.04995	4.93266	4.2779
"ACAA1"	39.5848	33.3443	48.256	23.9357	19.6904	15.0697	13.9335	15.3769	13.9515	10.509
"ACAA2"	57.1421	18.5157	40.6514	32.2556	26.7929	24.2148	75.6693	74.1051	71.7713	69.9442
"ACACA"	6.52413	21.9155	8.57532	6.92583	3.6392	4.32423	27.5146	23.287	25.4601	25.8651
"ACACB"	0.711738	0.446344	1.13564	0.170412	0.158556	0.114195	2.14475	2.18905	2.3385	1.55864
"ACAD10"	4.85778	3.61751	4.59965	5.72812	4.2649	4.06051	5.76688	5.63238	5.87018	4.60175
"ACAD11"	3.93815	6.03245	6.03902	8.02925	10.8882	8.23526	3.10814	4.58152	4.6718	4.41181
"ACAD8"	7.65434	7.75176	8.16857	10.3634	8.04228	8.33849	22.7598	23.4101	21.5228	19.8481
"ACAD9"	24.7155	19.8435	35.0566	15.7986	9.25737	9.58949	10.8734	11.7292	10.9967	8.3852
"ACADL"	0.939167	0.0356504	0.460991	0	0	0	0.169763	0.122059	0.0732489	0.162246
"ACADM"	5.2709	8.46926	1.61356	55.2805	70.3858	61.1294	13.0267	10.5991	10.2892	17.1149
"ACADS"	4.28987	0.739919	5.56645	10.4586	9.80918	2.80519	2.52629	4.54287	4.10596	1.67679
"ACADSB"	2.31742	1.36268	0.988779	6.13697	7.24209	7.28463	2.22711	2.36761	2.69264	2.96044
"ACADVL"	70.148	78.116	81.0556	59.9757	70.8509	38.3411	49.9119	54.2278	53.6426	42.7958
"ACAN"	0	0.0798057	0	0.00222673	0	0	0.270715	0.392017	0.385521	0.253684
"ACAP1"	0.20018	0.360819	0.222182	48.3653	33.8783	23.3773	8.24243	10.4968	8.99255	6.24703
"ACAP2"	7.218	6.33773	2.99866	6.32694	12.7326	10.7962	3.97847	2.60092	3.27194	5.18627
"ACAP3"	16.2958	8.52362	27.9331	15.0085	7.29083	4.621	10.1473	9.83298	10.6674	5.94025
"ACAT1"	11.7785	21.6426	9.76715	36.9667	31.422	34.3675	13.7916	13.1275	14.0158	15.0452
"ACAT2"	30.1142	71.6627	37.6825	64.4666	45.1968	60.4506	87.508	72.1221	64.7152	81.5066
"ACBD3"	13.7908	16.2012	8.71069	8.17429	10.4698	7.98312	8.03567	7.62509	7.71467	9.70047
"ACBD4"	2.03094	2.01883	2.22559	5.60125	5.4733	2.6469	5.5539	6.51151	6.64228	5.60534
"ACBD5"	8.5297	5.18677	6.25039	5.10239	6.99124	7.05065	3.91889	3.09722	3.30851	4.71571
"ACBD6"	38.4449	34.52	44.8051	34.9227	29.2177	25.5424	35.0919	35.8072	32.5752	26.9854
"ACBD7"	5.96731	0.144518	2.40961	0.152215	0.124806	0.18899	5.63522	5.83592	6.17708	6.42302
"ACCN1"	0	0.0353313	0	0	0.0140053	0	0.291319	0.383581	0.259315	0.114666
"ACCN2"	2.03152	2.78001	3.07834	0.376216	0.214736	0.176789	1.75327	2.07971	2.09809	1.39783
"ACCN3"	1.31501	0.217702	2.36865	0.745732	0.766569	0.373558	1.20264	1.03066	1.08433	0.587903
"ACCN4"	0.211007	0.0927233	0.106258	0.0280667	0.0395791	0	0.0449185	0.167611	0.181707	0.0422684
"ACCN5"	0	0	0	0	0	0	0	0	0	0
"ACCS"	2.27728	1.11262	3.40662	8.25965	2.5353	5.9979	1.23323	1.84134	2.09247	1.14508
"ACCSL"	0	0	0	0.228747	0.322073	0.225491	0	0.028637	0	0.0227488
"ACD"	11.8413	12.7623	20.5931	12.4906	7.85912	4.52761	16.133	16.3953	13.9221	10.9846
"ACE"	0.531536	0.134042	0.775299	0.214576	0.0712069	0.12346	1.08535	1.47839	1.28077	0.566768
"ACE2"	0.164004	0.00989725	0.0366023	0.0056123	0	0.0100655	0.0293099	0.0635892	0.0582971	0.0904308
"ACER1"	0.0178216	0	0	0	0	0.0372565	0	0	0	0
"ACER2"	2.01357	3.48212	1.64583	1.26621	2.02566	1.79386	3.52311	2.32195	2.68129	3.55412
"ACER3"	4.39544	12.9004	2.49732	1.70275	1.89434	1.95661	2.59525	2.1349	2.48731	3.11599
"ACHE"	1.01792	0.0488344	1.18337	1.03659	2.12692	0.364947	0.981503	1.55557	1.0491	0.726595
"ACIN1"	54.6794	35.0959	56.8019	40.1496	28.2568	25.9071	99.6758	85.1066	85.6129	89.0014
"ACLY"	47.3577	188.607	63.2268	49.2413	33.5069	33.431	129.156	121.099	124.317	117.496
"ACMSD"	0	0	0	0	0	0.0315489	0	0.0438442	0	0
"ACN9"	0	6.63578	0	7.43649	7.61199	6.13745	7.3684	7.58337	6.91609	8.86259
"ACO1"	9.53423	23.4493	9.50938	8.28595	3.20168	5.41864	24.9394	25.1613	25.1462	22.2676
"ACO2"	28.7602	30.8999	54.6376	50.006	30.7658	26.9868	30.1456	32.7073	30.9077	23.5108
"ACOT1"	3.23888	5.23583	4.60192	4.76505	3.98707	3.5243	1.04489	2.00436	1.81506	1.12467
"ACOT11"	0.973466	4.35566	1.59211	0.283288	0.0234156	0.263527	1.3419	1.52815	1.93189	1.14102
"ACOT12"	0	0	0	0	0	0.0185708	0.095305	0.0908833	0.0799574	0.0413078
"ACOT13"	4.63809	7.24482	2.73446	6.2371	7.83954	6.52016	6.32015	8.5648	7.44125	7.89547
"ACOT2"	9.87794	7.64294	15.5101	14.0692	10.1197	7.03483	1.89938	2.58184	2.0699	1.43326
"ACOT4"	5.38203	0.18163	5.81839	2.54785	1.21335	2.13224	0.614057	0.759901	0.711747	0.487197
"ACOT6"	0	0.0200346	0	0.0459363	0.171775	0.0822265	0.245752	0.369721	0.230632	0.133747
"ACOT7"	35.9727	146.97	81.9237	46.1435	25.2457	24.9289	94.423	101.821	84.9819	63.7377
"ACOT8"	9.02126	12.3448	18.5866	10.7194	9.12588	6.58056	16.3093	19.4989	15.2063	10.9926
"ACOT9"	12.8235	39.1858	9.7513	11.2871	9.15121	8.1777	16.793	14.203	14.1284	18.0402
"ACOX1"	9.60976	5.31574	6.37488	3.72654	4.04774	3.68541	3.05897	2.94485	3.13698	3.08632
"ACOX2"	0.377555	0.147005	0.250049	0	0	0	0.657181	0.960041	0.884861	0.580379
"ACOX3"	7.57291	4.72849	8.2589	6.79621	4.45044	4.57053	2.32246	3.19345	2.83474	2.24378
"ACOXL"	0.24188	0.495726	0.20115	3.82105	0.598723	2.27974	6.6263	7.47796	7.03967	5.12401
"ACP1"	65.9101	48.1343	46.7208	60.3157	55.1195	50.6087	73.613	72.7552	65.9686	83.4717
"ACP2"	10.8242	9.902	16.2923	5.96102	3.565	3.28561	10.4404	11.4495	11.7041	6.41885
"ACP5"	0.0225697	9.21202	0.0532002	21.1331	17.2683	14.5234	5.01055	6.76326	5.30369	3.04332
"ACP6"	26.1334	2.58122	14.0049	5.33488	5.06155	3.8928	6.03637	5.69741	5.76711	6.3242
"ACPL2"	2.70357	1.01711	1.79761	0.092541	0.0621518	0.059268	7.3122	7.63259	7.53901	8.32829
"ACPP"	0.532933	0.225608	0.319623	0.0377832	0.247804	0.0110233	1.03432	0.854172	0.748112	0.875065
"ACPT"	0	0	0.0260206	0.0322637	0.151172	0.0577962	0.0427407	0.0402104	0.0410349	0
"ACR"	0.0949304	0.069287	0.0382795	0	0	0	0.0418859	0.0591532	0.0402566	0.0623317
"ACRBP"	0.226434	0.00965882	0.142574	0.857302	0.515923	0.689509	0.289134	0.440501	0.508328	0.175056
"ACRC"	0.594383	0.214197	0.25383	0.186936	0.585973	0.324066	0.305342	0.282239	0.266667	0.325873
"ACRV1"	0.132271	0.0175917	0.0457469	0.0805299	0.0753586	0.169791	0.214556	0.181056	0.171806	0.158392
"ACSBG1"	0.224624	0.0413431	0.239294	0.100544	0.0252065	0.0837791	1.24843	1.31942	1.50469	0.710818
"ACSBG2"	0.0317217	0.0130084	0.0120185	0.00738468	0.0832993	0.0397247	0.0289951	0.0185619	0.0382193	0.0148167
"ACSF2"	7.22343	7.17646	7.99722	7.07454	5.67222	5.67313	3.65034	4.60944	4.5379	2.96295
"ACSF3"	8.10341	4.21723	13.9301	6.00034	6.01452	3.2731	4.2917	5.17755	4.91585	2.8738
"ACSL1"	4.86856	18.7427	3.71249	21.124	14.7401	17.1496	2.23723	1.60184	1.78002	2.3825
"ACSL3"	36.197	56.2607	18.2313	8.68801	6.07826	9.03901	16.4429	12.2889	13.4666	19.9161
"ACSL4"	0.781273	31.0184	0.295579	15.8617	16.532	18.8399	7.92569	5.81384	6.58182	10.2238
"ACSL5"	0.00528919	0.14006	0.00501471	17.2857	11.9356	14.5543	0.00804169	0.00774434	0.0159659	0.0247639
"ACSL6"	0.0310921	0.0340301	0.0192883	0.0111644	0.0673642	0.0177526	0.337382	0.424589	0.418084	0.410174
"ACSM1"	0.00859812	0.149697	0.016254	0.0100141	0.0564274	0.0179512	0.092078	0.0878771	0.167569	0.0998946
"ACSM2A"	0	0	0	0	0	0	0	0	0	0
"ACSM2B"	0	0	0	0	0	0	0	0	0	0
"ACSM3"	0.664879	0.323432	0.159794	1.91537	3.07892	2.13663	2.32356	2.69053	2.66088	2.73758
"ACSM4"	0	0	0	0	0	0	0	0	0	0
"ACSM5"	0.0287136	0	0.013588	0	0	0	0.0109528	0.0104936	0	0
"ACSS1"	1.51666	1.12729	1.45776	9.86342	6.38672	6.50012	1.38182	1.87309	1.6459	1.07064
"ACSS2"	5.73558	42.7585	8.33317	7.39094	2.88446	4.52346	6.25844	7.25353	7.75104	4.81065
"ACSS3"	5.29589	0.0115433	3.42989	0	0	0.0117451	9.29421	7.16701	8.07234	9.91308
"ACTA1"	0.0737428	0.0376978	0.0926198	0.0286578	0	0.0128367	21.8124	16.4399	14.7954	15.7768
"ACTA2"	7.59154	12.9202	8.07837	26.7031	20.4712	15.4587	4.29371	5.24979	5.13744	4.20092
"ACTB"	2710.44	4864.65	4801.49	7948.5	3842.23	4559.9	3115.51	3070.65	2922.68	2793.81
"ACTBL2"	0.0245782	0.0314997	0.0931368	0.0143035	0.0134464	0.0128242	0	0	0	0
"ACTC1"	0	0.0171834	0	0	0	0.00953062	15.2086	10.7469	10.473	13.0981
"ACTG1"	1888.82	2143.56	2930.42	2240.51	1146.1	1039.89	1635.43	1610.5	1547.44	1246.27
"ACTG2"	1.42351	0.573126	12.1553	0.147231	0.0345578	0.099147	8.45674	5.05693	5.48549	6.73125
"ACTL6A"	74.5635	37.3569	46.0937	35.4081	27.3085	37.5483	35.9839	33.1208	32.2492	40.1833
"ACTL6B"	0	0	0	0	0	0	0.753218	1.37253	1.31492	0.770629
"ACTL7A"	0	0	0.0121206	0.0150116	0	0	0	0	0	0
"ACTL7B"	0.0394472	0	0.049506	0	0	0.0274704	0	0	0	0
"ACTL8"	0.507524	0	0.41598	0	0.0209453	0.0399909	0.440308	0.363219	0.401168	0.444049
"ACTL9"	0	0	0	0	0	0	0	0	0	0
"ACTN1"	88.1984	390.332	155.834	0.387032	0.0397944	0.208658	103.624	103.833	98.2471	80.1662
"ACTN2"	0	0	0	0.00428997	0	0.0153901	0.777133	0.632694	0.714862	0.589245
"ACTN3"	0.0179981	0.012303	0.0511587	0.377055	0.262579	0.237898	29.7572	39.9526	37.8573	22.8557
"ACTN4"	198.711	314.903	397.976	74.1659	41.6352	25.076	106.086	113.828	108.015	86.1194
"ACTR10"	16.4414	17.4763	6.05521	6.56803	9.05195	9.71858	6.10533	5.23741	4.92747	6.77804
"ACTR1A"	33.9895	56.5173	46.3376	22.4465	15.5043	14.7363	42.7189	41.138	38.5346	32.8134
"ACTR1B"	30.5006	24.0355	53.4717	35.6146	35.363	28.6862	17.467	23.549	21.2177	12.6275
"ACTR2"	93.5758	124.413	32.0296	153.413	129.287	126.382	39.3357	32.3679	31.92	54.1463
"ACTR3"	88.3831	117.336	52.2863	171.736	138.86	146.58	40.7767	34.0843	35.4006	43.6499
"ACTR3B"	3.56284	1.75087	4.05622	5.21538	5.28344	4.2981	13.6982	15.5235	14.5021	13.7585
"ACTR3BP2"	0	0	0	0	0	0.0145626	0	0	0	0
"ACTR3BP5"	0	0	0	0	0	0.0344536	0	0	0	0
"ACTR3C"	1.88729	0.399482	1.90356	1.16361	1.90758	1.15365	1.29389	1.64556	1.50972	1.66452
"ACTR5"	3.56501	3.7469	4.3143	4.92343	2.38605	3.18082	6.9622	6.47959	6.10847	5.11049
"ACTR6"	11.513	7.76406	2.69232	10.2876	10.6891	11.829	5.35043	4.54699	4.5834	8.11957
"ACTR8"	7.13901	6.55105	6.11028	6.83311	5.57195	5.19535	5.78107	5.2565	5.80229	4.95321
"ACTRT1"	0	0	0	0.0149032	0	0	0.0197091	0	0	0.029424
"ACTRT2"	0	0	0	0	0	0	0	0	0	0
"ACVR1"	9.3274	10.1359	7.56603	0.0208925	0.130946	0.0249761	7.00514	6.54073	6.70958	5.84602
"ACVR1B"	10.329	5.80047	11.4195	0.322641	0.202408	0.22895	7.55453	8.94902	8.97832	6.39441
"ACVR1C"	0.0541329	0.0272436	0.0125213	0.00452836	0	0.0121868	0.0470826	0.0685274	0.0425566	0.101286
"ACVR2A"	2.5294	1.77787	0.977389	0.283487	0.194056	0.416073	2.64155	2.15461	2.01547	2.99668
"ACVR2B"	1.23895	0.478121	0.725052	0.670205	0.726299	1.14657	14.1082	13.5037	13.6269	17.8216
"ACVRL1"	0	0.00417165	0	0.0283718	0	0.0339259	0.0667669	0.113203	0.0984089	0.0381691
"ACY1"	12.1897	46.9851	19.4063	14.1766	12.1332	10.2712	19.0383	23.968	22.1252	12.7998
"ACY3"	0	0.0883546	0	7.51753	0.252099	3.70532	0.0446006	0	0.064084	0
